Name,Type,Sub_Type,Faction,Prefixes,Suffixes,Food_Cost,Wood_Cost,Gold_Cost,Favor_Cost,Pop_Cost,Training_Time,Buildpoints,Hitpoints,Line_of_Sight,Attack_Type,Rate_of_fire,Bonus_Multiplier,Maximum_range,Hack_Damage,Pierce_Damage,Divine_Damage,Crush_Damage,Hack_Armor,Pierce_Armor,Crush_Armor,Velocity,Focus,Description,God_Of
achilles (hero),unit,,,,,75,,175,2,3,20,,300,16,Melee Attack,1, MythUnit:  8.00,0.75,9,,,,30,45,99,5.3,,Mounted Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.,
ahuizotl,unit,,,,,320,,,28,3,18,,900,20,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",1,40,,,,50,65,80,,,and stunning targets. Good against human soldiers.,
ahzuizotl,unit,,,,,320,,,28,3,,,900,20,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",1,40,,,,50,65,80,5.30 =,,,
ajax (hero),unit,,,,,100,50,,,2,5,,190,16,Melee Attack,1, MythUnit:  12.00,1,1.75,,,,40,35,99,4.3,,Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.,
amazon archer,unit,,,,,85,95,65,,3,12,,120,30,Ranged Attack,1.9, Building:  2.20,24,,13,1,,15,20,99,4.80 _=,,Vulnerable to cavalry and fast attackers. Benefits from ranged soldier and armory improvements.,
anubite,unit,,,,,100,,,15,2,9,,200,16,Melee Attack,0.8," MythUnit:  3.00,  Hero:  0.50",0.5,11,,,,60,55,80,5,,Myth unit. A fast-running monster that can leap into combat. Good against human soldiers.,
arcus (hero),unit,,,,,,105,60,2,2,,,70,24,Ranged Attack,1," MythUnit:  5.50,  AbstractInfantry:  1.25",20,,6,,,15,15,99,4.3,,"Ranged Soldier, Hero. Good against infantry and myth units.",
arcus,unit,,,,,,60,35,,2,16,,65,22,Ranged Attack,1, AbstractInfantry:  1.25,20,,5,,,15,15,99,4,,Ranged Soldier. Good against infantry.,
argus,unit,,,,,,,250,25,4,20 |,,840,16,Melee Attack,1.5," MythUnit:  3.00,  Hero:  0.50",0.5,50,,,,60,70,80,4.30 EEE,,Myth unit. Can attack with a blob of acid that deals massive area damage after a short time. Good against human soldiers.,
arrow canoe,unit,,,,,,100,50,,3,16 |,,290,20,Ranged Attack,1.42,,15,,8,,,50,30,5,5.50 EEE,,transport units.,
