Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food,Wood,Gold,Favor,Cost,Pop,Training Time (s),HP,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Total Damage,Attack Speed,Multiplier 1,Multiplier 2,Multiplier 3,Hack Armor,Pierce Armor,Crush Armor,Range,Speed,Description,DPS,DPS (Crush),DPS Per Cost,DPS Per Pop,HP Per Cost,HP Per Pop,Hack HP Per Cost,Pierce HP Per Cost
unit,Animal,All,Golden Lion,,,,,,,0,,,70,15,,,,15,2.2,,,,15%,20%,99%,,5,,6.82, -   , -   , -   , -   , -   , -   , -   
unit,Animal,All,Relic Monkey,,,,,,,0,,,40,5,,,,5,1,,,,35%,20%,99%,,3.3,,5, -   , -   , -   , -   , -   , -   , -   
unit,Cavalry,Egypt,War Elephant,,,180,,70,,250,5,17,495,22,,,,22,1.4,3X vs. Buildings,,,25%,40%,99%,,2.9,,15.71, -   ,0.063,3.14,1.98,99,2.64,3.3
unit,Infantry,Atlantean,Murmillo,,,55,,30,,85,2,14,110,7,,,,7,0.8,,,,40%,10%,99%,,4.5,,8.75, -   ,0.103,4.38,1.29,55,2.16,1.44
unit,Myth,Atlantean,Argus,,,,,250,4,250,4,30,760,40,,,,40,1.5,3x  MU,,"0,5 x Hero",60%,70%,80%,,4.1,,26.67, -   ,0.107,6.67,3.04,190,7.6,10.13
unit,Myth,Atlantean,Automaton,,,,,90,6,90,2,18,230,11,,,,11,1,3x  MU ,"0,5x  Hero","0,5 x Hero",30%,55%,80%,,4.2,,11, -   ,0.122,5.5,2.56,115,3.65,5.68
unit,Myth,Atlantean,Behemoth,,,250,,,20,250,4,20,650,9,,,18,9,1.5,5x Buildings,2x MU,"0,5 x Hero",30%,75%,80%,2.5,3,,6,12,0.024,1.5,2.6,162.5,3.71,10.4
unit,Arrow Ship,Atlantean,Bireme,,,,100,50,,150,3,12,290,,24,,,24,1.5,,,,50%,30%,5%,15,5.8,,16, -   ,0.107,5.33,1.93,96.67,3.87,2.76
unit,Myth,Atlantean,Caladria,,,,100,25,12,125,2,9,125,,,-15,,-15,1,,,"0,5 x Hero",10%,20%,80%,,5.3,,, -   , -   , -   ,1,62.5,1.11,1.25
unit,Myth,Atlantean,Carnivora,,,,,,25,0,,,600,20,,,,20,1,"0,5 x Hero","0,25 x Villagers ",,35%,20%,80%,,,,20, -   , -   , -   , -   , -   , -   , -   
unit,Ranged Siege,Atlantean,Cheiroballista,,,,115,100,,215,4,24,85,,12,,,12,2,4.0x infantry and 3x ships,,,25%,50%,50%,20,3.8,,6, -   ,0.028,1.5,0.4,21.25,0.53,0.79
unit,Ranged Siege Hero,Atlantean,Cheiroballista (Hero),,,,200,175,4,375,4,32,115,,4,,,4,2,3.5x Infrantry,3x Ships,8x MU,25%,50%,50%,20,4.1,,2, -   ,0.005,0.5,0.31,28.75,0.41,0.61
unit,Infantry,Greek,Hoplite,,,50,,40,,90,2,12,115,7.5,,,,7.5,1,1.25x cavalry,,,40%,15%,99%,,4.3,,7.5, -   ,0.083,3.75,1.28,57.5,2.13,1.5
unit,Hero,Atlantean,Contarius (Hero),,,105,,70,3,175,3,25,155,15,,,,15,1.5,"1,5x Ranged",7x MU,,15%,40%,99%,1,6.1,,10, -   ,0.057,3.33,0.89,51.67,1.04,1.48
unit,Siege Infantry,Atlantean,Destroyer,,,70,,60,,130,3,11,150,6,,,,6,1.2,6x buildings,,,30%,70%,99%,1.5,3.6,,5, -   ,0.038,1.67,1.15,50,1.65,3.85
