,Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food Cost,Wood Cost,Gold Cost,Favor Cost,Cost,Pop Cost,Training Time,Hitpoints,Line of Sight,Attack Type,Rate of fire,Bonus Multiplier,Maximum range,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Total Damage,Attack Speed,Multiplier 1,Multiplier 2,Multiplier 3,Hack Armor,Pierce Armor,Crush Armor,Range,Velocity,Description,DPS,DPS (Crush),DPS Per Cost,DPS Per Pop,HP Per Cost,HP Per Pop,Hack HP Per Cost,Pierce HP Per Cost, Crush Damage, Divine Damage
0,unit,Animal,All,golden lion,,,,,,,0,,,70,,,,,,15,,,,15,2.2,,,,15%,20%,99%,,5,,6.82, -   , -   , -   , -   , -   , -   , -   ,,
1,unit,Animal,All,relic monkey,,,,,,,0,,,40,,,,,,5,,,,5,1,,,,35%,20%,99%,,3.3,,5, -   , -   , -   , -   , -   , -   , -   ,,
2,unit,Cavalry,Egypt,war elephant,,,180,,70,,250,5,14,450,16,Melee Attack,1.4," Building:  4.00,  AbstractArcher:  1.50",0.75,20,,,,22,1.4,3X vs. Buildings,,,25,45,99,,2.9,,15.71, -   ,0.063,3.14,1.98,99,2.64,3.3,,
3,unit,Infantry,Atlantean,murmillo,,,55,,30,,85,2,14,110,16,Melee Attack,0.8, Building:  1.60,0.5,7,,,,7,0.8,,,,40,10,99,,4.5,,8.75, -   ,0.103,4.38,1.29,55,2.16,1.44,,
4,unit,Myth,Atlantean,argus,,,,,250,25,250,4,20,760,16,Melee Attack,1.5," MythUnit:  3.00,  Hero:  0.50",0.5,50,,,,40,1.5,3x  MU,,"0,5 x Hero",60,70,80,,4.1,,26.67, -   ,0.107,6.67,3.04,190,7.6,10.13,,
5,unit,Myth,Atlantean,automaton,,,,,90,6,90,2,10,230,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",0.5,11,,,,11,1,3x  MU ,"0,5x  Hero","0,5 x Hero",30,55,80,,4.2,,11, -   ,0.122,5.5,2.56,115,3.65,5.68,,
6,unit,Myth,Atlantean,behemoth,,,250,,,20,250,4,20,700,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",2.5,20,,,18,9,1.5,5x Buildings,2x MU,"0,5 x Hero",30,75,80,2.5,3,,6,12,0.024,1.5,2.6,162.5,3.71,10.4,110,
7,unit,Arrow Ship,Atlantean,bireme,,,,100,50,,150,3,16,290,20,Ranged Attack,1.5,,16,,8,,,24,1.5,,,,50,30,5,15,5.5,,16, -   ,0.107,5.33,1.93,96.67,3.87,2.76,,
8,unit,Myth,Atlantean,caladria,,,,100,25,12,125,2,9,100,20,Pacify,3.5,,18,,,-15,,-15,1,,,"0,5 x Hero",5,45,80,,5,,, -   , -   , -   ,1,62.5,1.11,1.25,,
9,unit,Myth,Atlantean,carnivora,,,,,,25,0,0,,600,16,Melee Attack,1," AbstractVillager:  O.25,  Hero:  0.50",3,20,,,,20,1,"0,5 x Hero","0,25 x Villagers ",,35,20,80,,Immoveable,,20, -   , -   , -   , -   , -   , -   , -   ,,
