raw data,blank,Item Name,first res (num + symb),first res (symb),first res type,second res (num + symb),second res (symb),second res type,third res (num + symb),third res (symb),third res type,fourth res (num + symb),fourth res (symb),fourth res type
"['conscript-barracks-soldiers.png', '* Cost: 200 &: 100 .¢z, 30s D4']",,conscript-barracks-soldiers.png,200 &:,&:,food,100 .¢z, .¢z,wood,30s D4,D4,time(s),,,
"['conscript-cavalry.png', '+ Cost: 200 &. , 30s gi']",,conscript-cavalry.png,200 &.,&.,food,30s gi,gi,time(s),20s gi,gi,time(s),,,
"['conscript-counter-soldiers.png', '+ Cost: 100 G , 200 gz, 20s gi']",,'conscript-counter-soldiers.png,100 G,G,food,200 gz,gz,wood,,,,,,
"['conscript-great-hall-soldiers.png', '¢ Cost: 100 &: 100 .¢%, 200 gy, 30s gi']",,'conscript-great-hall-soldiers.png,100 &:,&:,food,100 .¢%,.¢%,wood,200 gy,gy,gold,30s gi,gi,time(s)
"['conscript-hill-fort-soldiers.png', '+ Cost: 100 & , 30s 4]']",,conscript-hill-fort-soldiers.png',100 &,&,food, 30s 4,4,time(s),,,,,,
"['conscript-infantry.png', '+ Cost: 200 &. , 30s gi']",,conscript-infantry.png,200 &.,&.,food,30s gi,gi,time(s),,,,,,
"['conscript-longhouse-soldiers.png', '+ Cost: 200 G., 100 .¢z, 30s gi']",,,,,,,,,,,,,,
"['conscript-mainline-soliders.png', '¢ Cost: 100 &: 100 gg, 100 gy, 30s gi']",,,,,,,,,,,,,,
"['conscript-migdol-soldiers.png', '+ Cost: 100 gz, 200 gp , 20s 4']",,,,,,,,,,,,,,
"['conscript-palace-soldiers.png', '* Cost: 200 G, 30s |¥']",,,,,,,,,,,,,,
"['conscript-ranged-soldiers.png', '+ Cost: 200 gz, 30s']",,,,,,,,,,,,,,
"['conscript-sailors.png', '+ Cost: 300 gz, 30s |¥']",,,,,,,,,,,,,,
"['copper-armor.png', '+ Cost: 75 G5.75 gy. 30s']",,copper-armor.png,75 G5.,G5.,food,75 gy.,gy.,gold, 30s,none,time(s),,,
"['copper-shields.png', '- Cost: 75 gg, 75 gy, 30s gi']",,copper-shields.png,"75 gg,","gg,",wood,"75 gy,","gy,",gold,30s ,gi,time(s),,,
"['copper-weapons.png', '- Cost: 100 G, 100 ga. 30s ¥']",,copper-weapons.png,"100 G,","G,",food,100 ga.,ga.,gold,30s ¥',¥',time(s),,,
"['crenellations.png', '+ Cost: 150 G., 150 gy, 20s gi']",,crenellations.png,"150 G.,",G.,food,"150 gy,","gy,",wood,20s gi,gi,time(s),,,
"['crimson-linen.png', '“Cost: 125 5,20 40s (gi']",,crimson-linen.png,"125 5,","5,",food,20,none,favor,40s (gi,(gi,time(s),,,
"['criosphinx.png', '+ Cost: 150 ¢%,5 & , 40s gi']",,criosphinx.png, 150 ¢%,¢%,wood,"5 & , ","& ,",favor,40s gi,gi,time(s),,,
"['crocodilopolis.png', '+ Cost: 200 .¢%,15 40s']",,crocodilopolis,"200 .¢%,",".¢%,",wood,15,none,favor,40s,none,time(s),,,
"['crushing-waves.png', '- Cost: 50 G.,15 & , 30s gi']",,crushing-waves.png,"50 G.,","G.,",food,"15 & , ","& , ",favor,30s gi,gi,time(s),,,
"['daktyloi.png', '+ Cost: 50 G, 100 gy, 10 § ,30s J']",,'daktyloi.png',"50 G,","G,",food,"100 gy,","gy,",wood,"10 § ,","§ ,",,30s J,J,time(s)
"['dan-no-ura-tactics.png', '']",,,,,,,,,,,,,,
